AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,SHW,TRV,UNH,V,VZ,WMT
0.021987220737205337,0.021554610035290453,0.009504142824648893,0.010620769956154623,0.019028742494790876,-0.009979328884910902,-0.007408013597653241,0.01641994059410391,-0.004138410506089079,0.03182731862578813,0.01325995910912356,-0.0035166536183114435,0.0020500455743218834,-0.012265836674294412,-0.043378194837139596,-0.00231152495954797,0.005460064844780618,-0.01066059858361628,-0.009660281606505011,0.0010397590930729676,0.007064639596406555,-0.0019528896929048721,0.03979160707461581,-0.00012424979092651972,-0.007883368617820673,-0.03685055863746315,-0.05865666912679715,-0.0035226467868048647,-0.0020626136878741843,-0.006433519566154821
0.005211382965499187,0.004671537178766572,0.010231121334191906,0.0181801918922631,-0.0014315014845030425,0.010861647316901559,0.017303326222335706,0.0026319951046388174,0.008259765130658693,-0.009442272577750667,0.010822681425738398,-0.0004572790271712172,0.004753380060185358,0.014906557637883443,0.027497816596583614,0.0028887218120075687,0.018411726944491467,0.006185827042144767,-0.0018685134536456825,-0.006712063247647411,-0.017879486162436203,0.015658036268665743,0,-0.002297798780138605,0.004217837031060544,0.02604323846266115,0.0032136524124124584,0.013014005159739384,-0.0009180845723708393,0.007654272960313434
-0.017001530537160636,-0.01789656089179604,-0.016593831846830446,0.012472865392972841,-0.016089128490494705,-0.00867248663349804,-0.006362989093353673,-0.006559142001199866,-0.0067972079254683,-0.03504118694126469,-0.017775311296946407,-0.010929122016886601,-0.004377308725128161,0.0017110423045875519,-0.022028302435859196,-0.004754615953598468,-0.013708303948198457,-0.004776638390743594,-0.0018720113330264437,-0.007218368590012686,-0.00037072894228085167,-0.002247782571864004,0.0018309424548666846,-0.002053949962708797,-0.02202037099616879,-0.019652013671783212,-0.015810446311492813,-0.006205256910844776,-0.01737153790669239,0.010014755280059425
0.0002856518218209976,0.01373022234153927,-0.017977451450354637,-0.0005032625431522383,0.007075643986192385,0.014169100501490908,-0.004944659350365877,0.038855507380184645,-0.010939769466948395,0.05590419740631842,-0.019386868278873474,-0.00038086069731846036,0.001878375370748188,-0.007033923425617944,0.06978044652959722,0.0033432902539098225,-0.031981822361171336,-0.010902925076259647,-0.0063566904134192016,0.012435620279242594,0.005792868471898832,-0.002212547157965789,-0.03469934553065616,-0.01639544983269217,-0.0008377811264835864,-0.010089584788844485,0.013051948840401137,-0.005877638759117907,0.006056436672690114,-0.023010567649119226
0.005366344294458053,-0.0016174716924595436,0.0011667129147174503,0.036308812449778384,0.019812962126876422,-0.010026478025271908,0.009864989295932965,-0.0014367825954231844,-0.00998232781396777,0.026487148859388826,-0.0010330584944531565,0.009586554224922923,-0.0045140563480096,-0.0009644715920546574,-0.006378912395073379,0.0031404224839406193,0.0013428832907191432,-0.010878820433977513,0.00461775580445737,0.014464799859304595,0.028351733212931857,0.013778453499477553,-0.004881962443571706,-0.002346125849375213,0.015884872111057127,-0.004182065726722419,-0.01568946860402826,0.00901305080967786,-0.01050548541087734,-0.0028881425182438513
0.0059969334396774284,0.012900345412558219,0.024558049860949196,-0.0022532416384511787,0.015175957091049281,-0.025988102122725447,-0.007389547000710702,0.007487331190407206,0.007845731314498675,0.012985015812715862,0.017870716173279372,0.006072446131072043,-0.008202093636067172,-0.009384325534526538,0.016081563622568695,0.00898184362396205,0.017607700685888992,0.004164988406101141,0.018160500322470984,0.008554299639895405,0.003696459178815265,-0.004039855451496449,0.014307105269457148,0.006139030245137037,0.0008244963400119463,0.0026207094280172633,-0.011287929945877923,-0.00526879513133123,0.002334352607912797,-0.02034818243482829
-0.005902195453381596,-0.017124819222669143,-0.017899954134708625,0.003311773111156336,-0.00591954811166981,-0.022604545262774202,-0.011850076980285033,0.007367178038440984,-0.01400014410587022,-0.022751049391756022,-0.00589777770090924,-0.00869014300831171,-0.003554003285117463,-0.013449810466367186,-0.016508285570702802,-0.005022534208429358,-0.004625694439191658,0.0014324209152787018,0.005081045477262657,-0.009452239423012534,-0.007886293481082864,0.0036624309212508993,-0.027030559337634097,-0.009127176006049235,-0.016911662994033343,-0.0059161414960753125,0.015208820020958368,-0.02259229706055914,-0.009802851370121374,-0.004860940816388343
-0.012101840180690205,0.005942891585945491,0.004528455790592348,0.016049314611297674,-0.00036963160964894026,0.006219151463248301,-0.0019149873336815305,-0.023847973115253895,0.0008338820064655336,-0.0449902937571099,0.011775141374446184,0.00010805238114347605,0.008987607245333823,0.0007049739283515986,-0.005563937717233752,-0.000509861084064386,0.006393920203561175,-0.005741362688367095,0.00654723971175796,0.013195489625182265,0.003711856891490076,-0.0005962429187498232,-0.005245746498328059,-0.02117134241467743,-0.00414225899559658,0.0038827631596363736,-0.011642815768454138,0.007359483951216392,-0.0009615760916942003,0.014512665723385389
0.0023460717008902156,-0.015334165055024373,-0.03252496689075874,-0.0022149126899100075,-0.0027886839039157497,-0.008119706813261171,-0.009481576625427961,-0.006350328025748141,-0.008286285044357525,-0.009246141450836454,-0.015242490079408344,-0.0314811626642848,-0.011661405909796729,-0.003848187036090842,-0.016443432652226832,-0.010577446609172494,-0.007475138919589607,-0.0015847438512772954,-0.007514609094722979,-0.008394403276406137,-0.026032077038972364,0.005550974992262568,-0.0036049627261891984,-0.007048744412691587,-0.01594659529226508,-0.019167198114632137,-0.02995381304106131,-0.009978420889333022,-0.007725786511573443,-0.004080065118529592
0.005008713863585393,0.022011426056001943,0.004015604133358132,-0.00043490370262720495,0.020159180578312102,0.0014354835258686837,0.0028241444267807637,-0.005123055613183542,0.007035169077609263,0.0053446811075948,0.008942015929035168,-0.0034635093002828464,0.006692427832334075,-0.0027629165408077183,-0.01008557284635882,0.06008986441306215,-0.002550653066990783,-0.0012985712763237932,-0.002405905804532755,0.0061753790596390384,0.011101069266217845,-0.00039555167850265354,0.0015267794288626783,0.006853626714289788,0.002386208392704135,0.006244946492686765,0.0026704749261850743,0.008264952479349635,-0.00024233148452804345,-0.0025191583624694664
